EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,ER
1558722341.838264,275034.000,48086,5,ER,1,100,1.635498
1558722341.838264,275034.000,48086,5,ER,1,100,1.634491
1558722341.838264,275034.000,48086,5,ER,1,100,1.625830
1558722341.838264,275034.000,48086,5,ER,1,100,1.619586
1558722341.838264,275034.000,48086,5,ER,1,100,1.612537
1558722341.905006,275083.000,48104,3,ER,1,100,1.603473
1558722341.971748,275132.000,48104,3,ER,1,100,1.595013
1558722342.038490,275181.000,48104,3,ER,1,100,1.591388
1558722342.104551,275229.500,48122,2,ER,1,100,1.582727
1558722342.170612,275278.000,48122,2,ER,1,100,1.573663
1558722342.237354,275327.000,48140,2,ER,1,100,1.566211
1558722342.304096,275376.000,48140,2,ER,1,100,1.562183
1558722342.370157,275424.500,48158,2,ER,1,100,1.554126
1558722342.436218,275473.000,48158,2,ER,1,100,1.551508
1558722342.502959,275522.000,48177,2,ER,1,100,1.548688
1558722342.569701,275571.000,48177,2,ER,1,100,1.547681
1558722342.637124,275620.500,48195,2,ER,1,100,1.546472
1558722342.704547,275670.000,48195,2,ER,1,100,1.551306
1558722342.771970,275719.500,48213,2,ER,1,100,1.551508
1558722342.839393,275769.000,48213,2,ER,1,100,1.554932
1558722342.905454,275817.500,48231,2,ER,1,100,1.554327
1558722342.971515,275866.000,48231,2,ER,1,100,1.558557
1558722343.037576,275914.500,48249,2,ER,1,100,1.556946
1558722343.103637,275963.000,48249,2,ER,1,100,1.562384
1558722343.169357,276011.250,48270,4,ER,1,100,1.567017
1558722343.235077,276059.500,48270,4,ER,1,100,1.572455
1558722343.300798,276107.750,48270,4,ER,1,100,1.574670
1558722343.366518,276156.000,48270,4,ER,1,100,1.579706
1558722343.433260,276205.000,48290,2,ER,1,100,1.583734
1558722343.500002,276254.000,48290,2,ER,1,100,1.589575
1558722343.566063,276302.500,48309,2,ER,1,100,1.595416
1558722343.632124,276351.000,48309,2,ER,1,100,1.599042
1558722343.699547,276400.500,48327,2,ER,1,100,1.600250
1558722343.766970,276450.000,48327,2,ER,1,100,1.607098
1558722343.834393,276499.500,48345,2,ER,1,100,1.608911
1558722343.901815,276549.000,48345,2,ER,1,100,1.614551
1558722343.967876,276597.500,48363,2,ER,1,100,1.617975
1558722344.033937,276646.000,48363,2,ER,1,100,1.625629
1558722344.100679,276695.000,48381,2,ER,1,100,1.627643
1558722344.167421,276744.000,48381,2,ER,1,100,1.632275
1558722344.234163,276793.000,48399,2,ER,1,100,1.636706
1558722344.300905,276842.000,48399,2,ER,1,100,1.641339
1558722344.367193,276890.667,48417,3,ER,1,100,1.643756
1558722344.433481,276939.333,48417,3,ER,1,100,1.647583
