RD,TS_received,TS_sent,AK,RoundTrip,c2e,e2c
276075,276080,2019-05-24_14-25-43-260,276083,5,3,2,
281185,281194,2019-05-24_14-25-50-223,281196,9,2,7,
286295,286301,2019-05-24_14-25-57-178,286304,6,3,3,
291405,291410,2019-05-24_14-26-04-142,291413,5,3,2,
296515,296522,2019-05-24_14-26-11-101,296527,7,5,2,
301623,301630,2019-05-24_14-26-18-052,301633,7,3,4,
306753,306761,2019-05-24_14-26-25-046,306764,8,3,5,
311861,311868,2019-05-24_14-26-32-005,311871,7,3,4,
316969,316982,2019-05-24_14-26-38-972,316986,13,4,9,
322077,322084,2019-05-24_14-26-45-929,322087,7,3,4,
327190,327200,2019-05-24_14-26-52-896,327203,10,3,7,
332312,332321,2019-05-24_14-26-59-870,332324,9,3,6,
337422,337431,2019-05-24_14-27-06-830,337434,9,3,6,
342531,342537,2019-05-24_14-27-13-790,342540,6,3,3,
347639,347645,2019-05-24_14-27-20-742,347648,6,3,3,
352747,352752,2019-05-24_14-27-27-702,352757,5,5,0,
357855,357863,2019-05-24_14-27-34-663,357867,8,4,4,
362963,362969,2019-05-24_14-27-41-614,362972,6,3,3,
368073,368083,2019-05-24_14-27-48-576,368084,10,1,9,
373182,373189,2019-05-24_14-27-55-538,373193,7,4,3,
378290,378295,2019-05-24_14-28-02-491,378297,5,2,3,
383416,383421,2019-05-24_14-28-09-472,383424,5,3,2,
388525,388530,2019-05-24_14-28-16-430,388534,5,4,1,
393633,393646,2019-05-24_14-28-23-394,393649,13,3,10,
398742,398747,2019-05-24_14-28-30-348,398750,5,3,2,
403850,403855,2019-05-24_14-28-37-304,403859,5,4,1,
408962,408971,2019-05-24_14-28-44-269,408974,9,3,6,
414069,414079,2019-05-24_14-28-51-233,414082,10,3,7,
419177,419184,2019-05-24_14-28-58-190,419187,7,3,4,
424285,424292,2019-05-24_14-29-05-142,424296,7,4,3,
429393,429401,2019-05-24_14-29-12-102,429404,8,3,5,
434503,434511,2019-05-24_14-29-19-066,434514,8,3,5,
439623,439631,2019-05-24_14-29-26-032,439635,8,4,4,
444731,444738,2019-05-24_14-29-32-991,444740,7,2,5,
449842,449848,2019-05-24_14-29-39-950,449851,6,3,3,
454950,454956,2019-05-24_14-29-46-906,454960,6,4,2,
460059,460069,2019-05-24_14-29-53-856,460072,10,3,7,
465169,465176,2019-05-24_14-30-00-820,465179,7,3,4,
470277,470293,2019-05-24_14-30-07-784,470296,16,3,13,
475387,475396,2019-05-24_14-30-14-732,475399,9,3,6,
480496,480504,2019-05-24_14-30-21-696,480507,8,3,5,
485604,485612,2019-05-24_14-30-28-656,485616,8,4,4,
490712,490719,2019-05-24_14-30-35-605,490722,7,3,4,
495820,495826,2019-05-24_14-30-42-563,495828,6,2,4,
500929,500938,2019-05-24_14-30-49-525,500941,9,3,6,
506040,506045,2019-05-24_14-30-56-488,506048,5,3,2,
511148,511158,2019-05-24_14-31-03-443,511161,10,3,7,
516257,516269,2019-05-24_14-31-10-410,516272,12,3,9,
521366,521371,2019-05-24_14-31-17-360,521374,5,3,2,
526474,526480,2019-05-24_14-31-24-316,526484,6,4,2,
531582,531589,2019-05-24_14-31-31-277,531595,7,6,1,
536691,536702,2019-05-24_14-31-38-237,536705,11,3,8,
541802,541809,2019-05-24_14-31-45-196,541812,7,3,4,
546911,546918,2019-05-24_14-31-52-159,546920,7,2,5,
552022,552029,2019-05-24_14-31-59-120,552032,7,3,4,
557130,557134,2019-05-24_14-32-06-073,557137,4,3,1,
562238,562243,2019-05-24_14-32-13-039,562246,5,3,2,
567346,567353,2019-05-24_14-32-19-992,567358,7,5,2,
572455,572459,2019-05-24_14-32-26-946,572462,4,3,1,
577563,577572,2019-05-24_14-32-33-905,577575,9,3,6,
582673,582679,2019-05-24_14-32-40-870,582682,6,3,3,
587781,587787,2019-05-24_14-32-47-826,587790,6,3,3,
592889,592894,2019-05-24_14-32-54-779,592899,5,5,0,
