EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1574714869.116335,434921,8191,2,DC,1,100,ER
1574714869.116335,434921,8191,2,DC,1,100,EA
1574714870.057314,435712,8335,2,DC,1,100,ER
1574714870.057314,435712,8335,2,DC,1,100,EA
1574714889.033916,451664,11132,2,DC,1,100,ER
1574714889.033916,451664,11132,2,DC,1,100,EA
1574714895.242472,456883,12046,2,DC,1,100,ER
1574714895.242472,456883,12046,2,DC,1,100,EA
1574715065.083771,599654,37114,2,DC,1,100,ER
1574715065.083771,599654,37114,2,DC,1,100,EA
1574715066.353082,600721,37293,2,DC,1,100,ER
1574715066.353082,600721,37293,2,DC,1,100,EA
1574715105.054548,633254,42997,2,DC,1,100,ER
1574715105.054548,633254,42997,2,DC,1,100,EA
1574715105.652920,633757,43089,2,DC,1,100,ER
1574715105.652920,633757,43089,2,DC,1,100,EA
1574715106.719997,634654,43250,4,DC,1,100,ER
1574715106.719997,634654,43250,4,DC,1,100,EA
1574715106.719997,634654,43250,4,DC,1,100,ER
1574715106.719997,634654,43250,4,DC,1,100,EA
1574715109.241962,636774,43625,2,DC,1,100,ER
1574715109.241962,636774,43625,2,DC,1,100,EA
1574715109.306201,636828,43644,2,DC,1,100,ER
1574715109.306201,636828,43644,2,DC,1,100,EA
1574715110.517220,637846,43809,2,DC,1,100,ER
1574715110.517220,637846,43809,2,DC,1,100,EA
1574715167.351857,685622,52200,2,DC,1,100,ER
1574715167.351857,685622,52200,2,DC,1,100,EA
1574715167.491041,685739,52219,2,DC,1,100,ER
1574715167.491041,685739,52219,2,DC,1,100,EA
1574715168.346368,686458,52344,2,DC,1,100,ER
1574715168.346368,686458,52344,2,DC,1,100,EA
1574715169.612109,687522,52542,2,DC,1,100,ER
1574715169.612109,687522,52542,2,DC,1,100,EA
1574715169.683486,687582,52561,2,DC,1,100,ER
1574715169.683486,687582,52561,2,DC,1,100,EA
1574715170.211671,688026,52634,2,DC,1,100,ER
1574715170.211671,688026,52634,2,DC,1,100,EA
1574715170.882609,688590,52726,2,DC,1,100,ER
1574715170.882609,688590,52726,2,DC,1,100,EA
1574715170.949227,688646,52747,2,DC,1,100,ER
1574715170.949227,688646,52747,2,DC,1,100,EA
1574715171.479792,689092,52817,2,DC,1,100,ER
1574715171.479792,689092,52817,2,DC,1,100,EA
