EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,H0
1574714555.734744,171488.000,29571,2,H0,1,100,93.060
1574714555.734744,171488.000,29571,2,H0,1,100,93.049
1574714555.873928,171605.000,29605,1,H0,1,100,93.052
1574714555.998837,171710.000,29623,1,H0,1,100,93.060
1574714556.132072,171822.000,29641,1,H0,1,100,93.060
1574714556.266498,171935.000,29659,1,H0,1,100,93.056
1574714556.403303,172050.000,29677,1,H0,1,100,93.056
1574714556.535349,172161.000,29696,1,H0,1,100,93.060
1574714556.663826,172269.000,29714,1,H0,1,100,93.049
1574714556.791114,172376.000,29732,1,H0,1,100,93.049
1574714556.921971,172486.000,29749,1,H0,1,100,93.056
1574714557.057586,172600.000,29767,1,H0,1,100,93.068
1574714557.192012,172713.000,29785,1,H0,1,100,93.068
1574714557.331196,172830.000,29819,1,H0,1,100,93.060
1574714557.458483,172937.000,29838,1,H0,1,100,93.049
1574714557.584582,173043.000,29856,1,H0,1,100,93.052
1574714557.723766,173160.000,29874,1,H0,1,100,93.060
1574714557.858191,173273.000,29892,1,H0,1,100,93.064
1574714557.992617,173386.000,29910,1,H0,1,100,93.056
1574714558.134180,173505.000,29927,1,H0,1,100,93.056
1574714558.261468,173612.000,29945,1,H0,1,100,93.056
1574714558.386377,173717.000,29963,1,H0,1,100,93.056
1574714558.523181,173832.000,29998,1,H0,1,100,93.056
1574714558.661176,173948.000,30016,1,H0,1,100,93.052
1574714558.795601,174061.000,30034,1,H0,1,100,93.049
1574714558.922889,174168.000,30052,1,H0,1,100,93.049
1574714559.054935,174279.000,30070,1,H0,1,100,93.052
1574714559.194119,174396.000,30088,1,H0,1,100,93.064
1574714559.330924,174511.000,30105,1,H0,1,100,93.045
1574714559.464160,174623.000,30123,1,H0,1,100,93.049
1574714559.589069,174728.000,30142,1,H0,1,100,93.052
1574714559.727063,174844.000,30176,1,H0,1,100,93.052
1574714559.860299,174956.000,30194,1,H0,1,100,93.056
1574714559.998293,175072.000,30212,1,H0,1,100,93.056
1574714560.123202,175177.000,30230,1,H0,1,100,93.052
1574714560.251679,175285.000,30248,1,H0,1,100,93.056
1574714560.387295,175399.000,30266,1,H0,1,100,93.060
1574714560.526479,175516.000,30284,1,H0,1,100,93.064
1574714560.663283,175631.000,30302,1,H0,1,100,93.056
1574714560.802467,175748.000,30336,1,H0,1,100,93.060
1574714560.935703,175860.000,30354,1,H0,1,100,93.056
1574714561.065370,175969.000,30372,1,H0,1,100,93.060
1574714561.192658,176076.000,30390,1,H0,1,100,93.060
1574714561.324704,176187.000,30408,1,H0,1,100,93.056
1574714561.460320,176301.000,30427,1,H0,1,100,93.056
1574714561.594745,176414.000,30445,1,H0,1,100,93.060
1574714561.731550,176529.000,30466,1,H0,1,100,93.068
1574714561.860027,176637.000,30486,1,H0,1,100,93.068
1574714561.987315,176744.000,30504,1,H0,1,100,93.064
1574714562.125310,176860.000,30522,1,H0,1,100,93.064
1574714562.265683,176978.000,30540,1,H0,1,100,93.064
1574714562.392971,177085.000,30558,1,H0,1,100,93.052
1574714562.523828,177195.000,30576,1,H0,1,100,93.068
1574714562.658253,177308.000,30594,1,H0,1,100,93.068
1574714562.795058,177423.000,30628,1,H0,1,100,93.064
1574714562.933052,177539.000,30646,1,H0,1,100,93.079
1574714563.059151,177645.000,30664,1,H0,1,100,93.068
1574714563.187628,177753.000,30682,1,H0,1,100,93.064
1574714563.323243,177867.000,30700,1,H0,1,100,93.068
1574714563.462427,177984.000,30719,1,H0,1,100,93.064
1574714563.594474,178095.000,30737,1,H0,1,100,93.064
1574714563.720572,178201.000,30754,1,H0,1,100,93.064
1574714563.852618,178312.000,30772,1,H0,1,100,93.068
1574714563.989423,178427.000,30790,1,H0,1,100,93.068
1574714564.127417,178543.000,30824,1,H0,1,100,93.064
1574714564.258274,178653.000,30842,1,H0,1,100,93.064
1574714564.384372,178759.000,30861,1,H0,1,100,93.068
1574714564.521177,178874.000,30879,1,H0,1,100,93.068
1574714564.655602,178987.000,30897,1,H0,1,100,93.064
1574714564.779321,179091.000,30915,1,H0,1,100,93.068
1574714564.916126,179206.000,30933,1,H0,1,100,93.056
1574714565.052931,179321.000,30950,1,H0,1,100,93.060
1574714565.192115,179438.000,30968,1,H0,1,100,93.060
1574714565.320592,179546.000,31002,1,H0,1,100,93.075
1574714565.451449,179656.000,31021,1,H0,1,100,93.072
1574714565.582306,179766.000,31039,1,H0,1,100,93.068
1574714565.721490,179883.000,31057,1,H0,1,100,93.072
1574714565.858294,179998.000,31075,1,H0,1,100,93.068
1574714565.982014,180102.000,31093,1,H0,1,100,93.072
1574714566.114060,180213.000,31111,1,H0,1,100,93.079
1574714566.250865,180328.000,31128,1,H0,1,100,93.083
1574714566.384101,180440.000,31146,1,H0,1,100,93.072
1574714566.518526,180553.000,31181,1,H0,1,100,93.068
1574714566.647004,180661.000,31199,1,H0,1,100,93.072
1574714566.777860,180771.000,31217,1,H0,1,100,93.072
1574714566.913476,180885.000,31235,1,H0,1,100,93.064
1574714567.055039,181004.000,31253,1,H0,1,100,93.072
1574714567.182327,181111.000,31271,1,H0,1,100,93.075
1574714567.311994,181220.000,31289,1,H0,1,100,93.068
1574714567.446419,181333.000,31307,1,H0,1,100,93.075
1574714567.583224,181448.000,31325,1,H0,1,100,93.068
1574714567.714675,181558.500,31362,2,H0,1,100,93.072
1574714567.846127,181669.000,31362,2,H0,1,100,93.064
1574714567.971036,181774.000,31382,1,H0,1,100,93.072
1574714568.109030,181890.000,31400,1,H0,1,100,93.060
1574714568.248214,182007.000,31417,1,H0,1,100,93.072
1574714568.385019,182122.000,31435,1,H0,1,100,93.072
1574714568.528961,182243.000,31470,1,H0,1,100,93.064
1574714568.666955,182359.000,31488,1,H0,1,100,93.068
1574714568.801381,182472.000,31506,1,H0,1,100,93.068
1574714568.928669,182579.000,31524,1,H0,1,100,93.060
1574714569.060715,182690.000,31542,1,H0,1,100,93.064
1574714569.195141,182803.000,31559,1,H0,1,100,93.060
1574714569.336704,182922.000,31577,1,H0,1,100,93.068
1574714569.467561,183032.000,31612,1,H0,1,100,93.064
1574714569.606745,183149.000,31630,1,H0,1,100,93.068
1574714569.734032,183256.000,31648,1,H0,1,100,93.068
1574714569.863699,183365.000,31666,1,H0,1,100,93.068
