EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1574714555.738313,171491.000,29563,7,PI,1,100,192382
1574714555.738313,171491.000,29563,7,PI,1,100,192437
1574714555.738313,171491.000,29563,7,PI,1,100,192500
1574714555.738313,171491.000,29563,7,PI,1,100,193267
1574714555.738313,171491.000,29563,7,PI,1,100,193377
1574714555.738313,171491.000,29563,7,PI,1,100,193469
1574714555.738313,171491.000,29563,7,PI,1,100,193674
1574714555.780544,171526.500,29581,2,PI,1,100,193820
1574714555.822775,171562.000,29581,2,PI,1,100,193588
1574714555.861437,171594.500,29597,4,PI,1,100,192975
1574714555.900099,171627.000,29597,4,PI,1,100,192599
1574714555.938761,171659.500,29597,4,PI,1,100,192547
1574714555.977424,171692.000,29597,4,PI,1,100,192605
1574714556.016680,171725.000,29615,3,PI,1,100,192654
1574714556.055938,171758.000,29615,3,PI,1,100,192800
1574714556.095195,171791.000,29615,3,PI,1,100,192948
1574714556.135641,171825.000,29633,3,PI,1,100,193037
1574714556.176088,171859.000,29633,3,PI,1,100,193113
1574714556.216534,171893.000,29633,3,PI,1,100,193214
1574714556.257774,171927.667,29651,3,PI,1,100,193272
1574714556.299014,171962.333,29651,3,PI,1,100,193507
1574714556.340254,171997.000,29651,3,PI,1,100,193686
1574714556.381295,172031.500,29669,2,PI,1,100,193813
1574714556.422336,172066.000,29669,2,PI,1,100,193830
1574714556.460701,172098.250,29688,4,PI,1,100,193878
1574714556.499066,172130.500,29688,4,PI,1,100,194041
1574714556.537431,172162.750,29688,4,PI,1,100,193900
1574714556.575796,172195.000,29688,4,PI,1,100,193268
1574714556.615846,172228.667,29706,3,PI,1,100,192686
1574714556.655896,172262.333,29706,3,PI,1,100,192588
1574714556.695946,172296.000,29706,3,PI,1,100,192609
1574714556.733220,172327.333,29724,3,PI,1,100,192627
1574714556.770494,172358.667,29724,3,PI,1,100,192704
1574714556.807769,172390.000,29724,3,PI,1,100,192749
1574714556.846629,172422.667,29742,3,PI,1,100,192785
1574714556.885490,172455.333,29742,3,PI,1,100,192821
1574714556.924350,172488.000,29742,3,PI,1,100,193002
1574714556.965194,172522.333,29759,3,PI,1,100,193177
1574714557.006037,172556.667,29759,3,PI,1,100,193253
1574714557.046880,172591.000,29759,3,PI,1,100,193346
1574714557.087723,172625.333,29777,3,PI,1,100,193441
1574714557.128566,172659.667,29777,3,PI,1,100,193553
1574714557.169409,172694.000,29777,3,PI,1,100,193688
1574714557.211046,172729.000,29795,3,PI,1,100,193850
1574714557.252682,172764.000,29795,3,PI,1,100,193891
1574714557.294318,172799.000,29795,3,PI,1,100,193449
1574714557.332782,172831.333,29811,3,PI,1,100,192844
1574714557.371246,172863.667,29811,3,PI,1,100,192698
1574714557.409710,172896.000,29811,3,PI,1,100,192754
1574714557.447777,172928.000,29830,3,PI,1,100,192751
1574714557.485845,172960.000,29830,3,PI,1,100,192787
1574714557.523912,172992.000,29830,3,PI,1,100,192906
1574714557.568720,173029.667,29848,3,PI,1,100,193017
1574714557.613529,173067.333,29848,3,PI,1,100,193074
1574714557.658337,173105.000,29848,3,PI,1,100,193159
1574714557.694026,173135.000,29866,3,PI,1,100,193285
1574714557.729714,173165.000,29866,3,PI,1,100,193441
1574714557.765402,173195.000,29866,3,PI,1,100,193591
1574714557.806245,173229.333,29884,3,PI,1,100,193739
1574714557.847088,173263.667,29884,3,PI,1,100,193870
1574714557.887932,173298.000,29884,3,PI,1,100,193989
1574714557.929171,173332.667,29902,3,PI,1,100,194108
1574714557.970411,173367.333,29902,3,PI,1,100,194251
1574714558.011651,173402.000,29902,3,PI,1,100,194302
1574714558.053683,173437.333,29920,3,PI,1,100,193965
1574714558.095716,173472.667,29920,3,PI,1,100,193484
1574714558.137749,173508.000,29920,3,PI,1,100,193347
1574714558.175816,173540.000,29937,3,PI,1,100,193366
1574714558.213884,173572.000,29937,3,PI,1,100,193370
1574714558.251951,173604.000,29937,3,PI,1,100,193441
