EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1574867948.754094,336093.000,58929,8,MZ,1,100,-0
1574867948.754094,336093.000,58929,8,MZ,1,100,-2
1574867948.754094,336093.000,58929,8,MZ,1,100,-1
1574867948.754094,336093.000,58929,8,MZ,1,100,-1
1574867948.754094,336093.000,58929,8,MZ,1,100,-1
1574867948.754094,336093.000,58929,8,MZ,1,100,-2
1574867948.754094,336093.000,58929,8,MZ,1,100,-0
1574867948.754094,336093.000,58929,8,MZ,1,100,-0
1574867948.795715,336128.000,58947,2,MZ,1,100,-2
1574867948.837336,336163.000,58947,2,MZ,1,100,-2
1574867948.878561,336197.667,58965,3,MZ,1,100,-1
1574867948.919786,336232.333,58965,3,MZ,1,100,-1
1574867948.961011,336267.000,58965,3,MZ,1,100,-0
1574867948.999461,336299.333,58983,3,MZ,1,100,-2
1574867949.037911,336331.667,58983,3,MZ,1,100,-1
1574867949.076361,336364.000,58983,3,MZ,1,100,-2
1574867949.117190,336398.333,59001,3,MZ,1,100,-1
1574867949.158018,336432.667,59001,3,MZ,1,100, 0
1574867949.198847,336467.000,59001,3,MZ,1,100,-1
1574867949.239675,336501.333,59019,3,MZ,1,100,-0
1574867949.280504,336535.667,59019,3,MZ,1,100,-2
1574867949.321332,336570.000,59019,3,MZ,1,100,-1
1574867949.362953,336605.000,59035,3,MZ,1,100,-0
1574867949.404575,336640.000,59035,3,MZ,1,100,-1
1574867949.446196,336675.000,59035,3,MZ,1,100,-2
1574867949.483853,336706.667,59053,3,MZ,1,100,-0
1574867949.521511,336738.333,59053,3,MZ,1,100,-0
1574867949.559168,336770.000,59053,3,MZ,1,100,-1
1574867949.596429,336801.333,59071,3,MZ,1,100, 0
1574867949.633690,336832.667,59071,3,MZ,1,100,-1
1574867949.670951,336864.000,59071,3,MZ,1,100,-1
1574867949.716140,336902.000,59089,3,MZ,1,100,-0
1574867949.761328,336940.000,59089,3,MZ,1,100,-1
1574867949.806517,336978.000,59089,3,MZ,1,100,-0
1574867949.841400,337007.333,59107,3,MZ,1,100,-2
1574867949.876282,337036.667,59107,3,MZ,1,100,-1
1574867949.911165,337066.000,59107,3,MZ,1,100, 0
1574867949.951300,337099.750,59126,4,MZ,1,100, 0
1574867949.991435,337133.500,59126,4,MZ,1,100,-1
1574867950.031569,337167.250,59126,4,MZ,1,100,-2
1574867950.071704,337201.000,59126,4,MZ,1,100,-2
1574867950.112731,337235.500,59144,2,MZ,1,100,-1
1574867950.153758,337270.000,59144,2,MZ,1,100,-1
1574867950.199343,337308.333,59161,3,MZ,1,100,-2
1574867950.244928,337346.667,59161,3,MZ,1,100,-2
1574867950.290513,337385.000,59161,3,MZ,1,100,-2
1574867950.331738,337419.667,59179,3,MZ,1,100,-1
1574867950.372963,337454.333,59179,3,MZ,1,100,-1
1574867950.414188,337489.000,59179,3,MZ,1,100,-2
1574867950.455809,337524.000,59195,3,MZ,1,100,-2
1574867950.497430,337559.000,59195,3,MZ,1,100,-1
1574867950.539052,337594.000,59195,3,MZ,1,100,-1
1574867950.580673,337629.000,59213,3,MZ,1,100,-2
1574867950.622294,337664.000,59213,3,MZ,1,100,-2
1574867950.663915,337699.000,59213,3,MZ,1,100,-1
1574867950.703555,337732.333,59231,3,MZ,1,100,-2
1574867950.743194,337765.667,59231,3,MZ,1,100,-2
1574867950.782833,337799.000,59231,3,MZ,1,100,-2
1574867950.820887,337831.000,59249,3,MZ,1,100,-1
1574867950.858941,337863.000,59249,3,MZ,1,100, 0
1574867950.896994,337895.000,59249,3,MZ,1,100, 0
1574867950.937030,337928.667,59268,3,MZ,1,100,-0
1574867950.977066,337962.333,59268,3,MZ,1,100,-1
1574867951.017102,337996.000,59268,3,MZ,1,100,-2
1574867951.057534,338030.000,59286,3,MZ,1,100,-1
1574867951.097966,338064.000,59286,3,MZ,1,100,-0
1574867951.138398,338098.000,59286,3,MZ,1,100,-2
1574867951.180019,338133.000,59304,3,MZ,1,100,-1
1574867951.221640,338168.000,59304,3,MZ,1,100,-2
1574867951.263262,338203.000,59304,3,MZ,1,100,-3
1574867951.304883,338238.000,59321,2,MZ,1,100,-2
1574867951.346504,338273.000,59321,2,MZ,1,100,-1
1574867951.386936,338307.000,59339,4,MZ,1,100,-2
1574867951.427368,338341.000,59339,4,MZ,1,100,-2
1574867951.467800,338375.000,59339,4,MZ,1,100,-1
1574867951.508232,338409.000,59339,4,MZ,1,100,-2
1574867951.547079,338441.667,59357,3,MZ,1,100,-1
1574867951.585926,338474.333,59357,3,MZ,1,100,-2
1574867951.624772,338507.000,59357,3,MZ,1,100,-2
1574867951.666393,338542.000,59373,3,MZ,1,100,-0
1574867951.708014,338577.000,59373,3,MZ,1,100,-1
1574867951.749636,338612.000,59373,3,MZ,1,100,-2
1574867951.790464,338646.333,59391,3,MZ,1,100,-2
1574867951.831293,338680.667,59391,3,MZ,1,100,-2
1574867951.872121,338715.000,59391,3,MZ,1,100,-2
1574867951.912157,338748.667,59409,3,MZ,1,100,-2
1574867951.952193,338782.333,59409,3,MZ,1,100,-1
1574867951.992228,338816.000,59409,3,MZ,1,100,-2
1574867952.030282,338848.000,59428,3,MZ,1,100,-1
1574867952.068336,338880.000,59428,3,MZ,1,100,-1
1574867952.106390,338912.000,59428,3,MZ,1,100,-1
1574867952.148804,338947.667,59446,3,MZ,1,100,-1
1574867952.191218,338983.333,59446,3,MZ,1,100, 1
1574867952.233632,339019.000,59446,3,MZ,1,100, 1
1574867952.274460,339053.333,59464,3,MZ,1,100, 2
1574867952.315289,339087.667,59464,3,MZ,1,100, 3
1574867952.356117,339122.000,59464,3,MZ,1,100, 5
1574867952.397144,339156.500,59482,2,MZ,1,100, 8
1574867952.438170,339191.000,59482,2,MZ,1,100,10
1574867952.479395,339225.667,59499,3,MZ,1,100,13
1574867952.520620,339260.333,59499,3,MZ,1,100,16
1574867952.561845,339295.000,59499,3,MZ,1,100,18
1574867952.600493,339327.500,59517,4,MZ,1,100,20
1574867952.639142,339360.000,59517,4,MZ,1,100,23
1574867952.677790,339392.500,59517,4,MZ,1,100,22
1574867952.716439,339425.000,59517,4,MZ,1,100,22
1574867952.754889,339457.333,59535,3,MZ,1,100,22
1574867952.793339,339489.667,59535,3,MZ,1,100,22
1574867952.831789,339522.000,59535,3,MZ,1,100,23
1574867952.872221,339556.000,59553,3,MZ,1,100,23
1574867952.912653,339590.000,59553,3,MZ,1,100,24
1574867952.953085,339624.000,59553,3,MZ,1,100,22
1574867952.994706,339659.000,59570,2,MZ,1,100,23
1574867953.036328,339694.000,59570,2,MZ,1,100,22
1574867953.081517,339732.000,59588,3,MZ,1,100,23
1574867953.126705,339770.000,59588,3,MZ,1,100,21
1574867953.171894,339808.000,59588,3,MZ,1,100,22
1574867953.209155,339839.333,59606,3,MZ,1,100,19
1574867953.246416,339870.667,59606,3,MZ,1,100,21
1574867953.283677,339902.000,59606,3,MZ,1,100,23
1574867953.322523,339934.667,59624,3,MZ,1,100,24
1574867953.361370,339967.333,59624,3,MZ,1,100,24
1574867953.400216,340000.000,59624,3,MZ,1,100,24
1574867953.440649,340034.000,59642,4,MZ,1,100,24
1574867953.481081,340068.000,59642,4,MZ,1,100,23
1574867953.521513,340102.000,59642,4,MZ,1,100,17
1574867953.561945,340136.000,59642,4,MZ,1,100,22
1574867953.603566,340171.000,59660,2,MZ,1,100,24
1574867953.645187,340206.000,59660,2,MZ,1,100,26
1574867953.686412,340240.667,59678,3,MZ,1,100,26
1574867953.727637,340275.333,59678,3,MZ,1,100,28
1574867953.768862,340310.000,59678,3,MZ,1,100,31
1574867953.807312,340342.333,59695,3,MZ,1,100,30
1574867953.845762,340374.667,59695,3,MZ,1,100,30
1574867953.884212,340407.000,59695,3,MZ,1,100,29
1574867953.926626,340442.667,59714,3,MZ,1,100,29
1574867953.969040,340478.333,59714,3,MZ,1,100,29
1574867954.011455,340514.000,59714,3,MZ,1,100,20
1574867954.046337,340543.333,59732,3,MZ,1,100,27
1574867954.081220,340572.667,59732,3,MZ,1,100,27
1574867954.116102,340602.000,59732,3,MZ,1,100,30
1574867954.156832,340636.250,59750,4,MZ,1,100,29
1574867954.197561,340670.500,59750,4,MZ,1,100,29
1574867954.238290,340704.750,59750,4,MZ,1,100,30
1574867954.279020,340739.000,59750,4,MZ,1,100,31
1574867954.319452,340773.000,59766,2,MZ,1,100,30
1574867954.359884,340807.000,59766,2,MZ,1,100,29
1574867954.401109,340841.667,59784,3,MZ,1,100,29
1574867954.442334,340876.333,59784,3,MZ,1,100,28
1574867954.483559,340911.000,59784,3,MZ,1,100,29
1574867954.525180,340946.000,59802,3,MZ,1,100,29
1574867954.566801,340981.000,59802,3,MZ,1,100,29
1574867954.608423,341016.000,59802,3,MZ,1,100,27
1574867954.647071,341048.500,59823,6,MZ,1,100,27
1574867954.685719,341081.000,59823,6,MZ,1,100,28
1574867954.724367,341113.500,59823,6,MZ,1,100,28
1574867954.763016,341146.000,59823,6,MZ,1,100,26
1574867954.801664,341178.500,59823,6,MZ,1,100,27
1574867954.840312,341211.000,59823,6,MZ,1,100,27
1574867954.879555,341244.000,59843,2,MZ,1,100,25
1574867954.918798,341277.000,59843,2,MZ,1,100,25
1574867954.963591,341314.667,59860,3,MZ,1,100,23
1574867955.008383,341352.333,59860,3,MZ,1,100,24
1574867955.053175,341390.000,59860,3,MZ,1,100,21
1574867955.094004,341424.333,59878,3,MZ,1,100,21
1574867955.134832,341458.667,59878,3,MZ,1,100,20
1574867955.175661,341493.000,59878,3,MZ,1,100,20
1574867955.216886,341527.667,59896,3,MZ,1,100,19
1574867955.258111,341562.333,59896,3,MZ,1,100,17
1574867955.299335,341597.000,59896,3,MZ,1,100,18
1574867955.336596,341628.333,59914,3,MZ,1,100,18
1574867955.373857,341659.667,59914,3,MZ,1,100,16
1574867955.411118,341691.000,59914,3,MZ,1,100,16
1574867955.449965,341723.667,59932,3,MZ,1,100,15
1574867955.488811,341756.333,59932,3,MZ,1,100,14
1574867955.527658,341789.000,59932,3,MZ,1,100,13
1574867955.568090,341823.000,59950,3,MZ,1,100,14
1574867955.608522,341857.000,59950,3,MZ,1,100,13
1574867955.648954,341891.000,59950,3,MZ,1,100,11
1574867955.689783,341925.333,59968,3,MZ,1,100,10
1574867955.730611,341959.667,59968,3,MZ,1,100,12
1574867955.771440,341994.000,59968,3,MZ,1,100,12
1574867955.817025,342032.333,59985,3,MZ,1,100,14
1574867955.862610,342070.667,59985,3,MZ,1,100,13
1574867955.908195,342109.000,59985,3,MZ,1,100,13
1574867955.945060,342140.000,60004,3,MZ,1,100,13
1574867955.981924,342171.000,60004,3,MZ,1,100,15
1574867956.018789,342202.000,60004,3,MZ,1,100,12
1574867956.057635,342234.667,60022,3,MZ,1,100,12
1574867956.096482,342267.333,60022,3,MZ,1,100,11
1574867956.135328,342300.000,60022,3,MZ,1,100, 9
1574867956.176553,342334.667,60038,3,MZ,1,100,10
1574867956.217778,342369.333,60038,3,MZ,1,100,10
1574867956.259003,342404.000,60038,3,MZ,1,100,10
1574867956.300624,342439.000,60056,3,MZ,1,100, 9
1574867956.342246,342474.000,60056,3,MZ,1,100, 9
1574867956.383867,342509.000,60056,3,MZ,1,100, 7
1574867956.425884,342544.333,60074,3,MZ,1,100, 8
1574867956.467902,342579.667,60074,3,MZ,1,100, 4
1574867956.509920,342615.000,60074,3,MZ,1,100, 4
1574867956.547181,342646.333,60092,3,MZ,1,100, 3
1574867956.584442,342677.667,60092,3,MZ,1,100, 3
1574867956.621703,342709.000,60092,3,MZ,1,100, 2
1574867956.663324,342744.000,60110,3,MZ,1,100, 2
1574867956.704945,342779.000,60110,3,MZ,1,100, 1
1574867956.746567,342814.000,60110,3,MZ,1,100, 1
1574867956.788188,342849.000,60128,3,MZ,1,100, 0
1574867956.829809,342884.000,60128,3,MZ,1,100, 0
1574867956.871430,342919.000,60128,3,MZ,1,100,-1
1574867956.912457,342953.500,60146,2,MZ,1,100,-2
1574867956.953484,342988.000,60146,2,MZ,1,100,-2
1574867956.994312,343022.333,60164,3,MZ,1,100,-2
1574867957.035141,343056.667,60164,3,MZ,1,100,-2
1574867957.075969,343091.000,60164,3,MZ,1,100,-1
1574867957.114915,343123.750,60182,4,MZ,1,100, 1
1574867957.153860,343156.500,60182,4,MZ,1,100, 1
1574867957.192806,343189.250,60182,4,MZ,1,100, 2
1574867957.231751,343222.000,60182,4,MZ,1,100, 2
1574867957.269409,343253.667,60200,3,MZ,1,100, 4
1574867957.307066,343285.333,60200,3,MZ,1,100, 5
1574867957.344723,343317.000,60200,3,MZ,1,100, 8
1574867957.385552,343351.333,60216,3,MZ,1,100,10
1574867957.426381,343385.667,60216,3,MZ,1,100,13
1574867957.467209,343420.000,60216,3,MZ,1,100,16
1574867957.514182,343459.500,60234,2,MZ,1,100,17
1574867957.561154,343499.000,60234,2,MZ,1,100,17
1574867957.598811,343530.667,60252,3,MZ,1,100,18
1574867957.636469,343562.333,60252,3,MZ,1,100,16
1574867957.674126,343594.000,60252,3,MZ,1,100,17
1574867957.715351,343628.667,60270,3,MZ,1,100,17
1574867957.756576,343663.333,60270,3,MZ,1,100,14
1574867957.797801,343698.000,60270,3,MZ,1,100,14
1574867957.842197,343735.333,60288,3,MZ,1,100,14
1574867957.886593,343772.667,60288,3,MZ,1,100,14
1574867957.930989,343810.000,60288,3,MZ,1,100,13
1574867957.970628,343843.333,60307,3,MZ,1,100,12
1574867958.010267,343876.667,60307,3,MZ,1,100,14
1574867958.049907,343910.000,60307,3,MZ,1,100,15
1574867958.088357,343942.333,60325,3,MZ,1,100,14
1574867958.126807,343974.667,60325,3,MZ,1,100,13
1574867958.165257,344007.000,60325,3,MZ,1,100,14
1574867958.204500,344040.000,60342,3,MZ,1,100,14
1574867958.243743,344073.000,60342,3,MZ,1,100,14
1574867958.282986,344106.000,60342,3,MZ,1,100,13
1574867958.325004,344141.333,60360,3,MZ,1,100,14
1574867958.367021,344176.667,60360,3,MZ,1,100,13
1574867958.409039,344212.000,60360,3,MZ,1,100,12
1574867958.449471,344246.000,60378,3,MZ,1,100,13
1574867958.489903,344280.000,60378,3,MZ,1,100,12
1574867958.530335,344314.000,60378,3,MZ,1,100,13
1574867958.571560,344348.667,60394,3,MZ,1,100,14
1574867958.612785,344383.333,60394,3,MZ,1,100,14
1574867958.654010,344418.000,60394,3,MZ,1,100,14
1574867958.695631,344453.000,60412,3,MZ,1,100,14
1574867958.737252,344488.000,60412,3,MZ,1,100,14
1574867958.778874,344523.000,60412,3,MZ,1,100,15
1574867958.818116,344556.000,60430,3,MZ,1,100,14
1574867958.857359,344589.000,60430,3,MZ,1,100,14
1574867958.896602,344622.000,60430,3,MZ,1,100,15
1574867958.934656,344654.000,60449,3,MZ,1,100,16
1574867958.972710,344686.000,60449,3,MZ,1,100,16
1574867959.010763,344718.000,60449,3,MZ,1,100,15
1574867959.053574,344754.000,60467,3,MZ,1,100,16
1574867959.096384,344790.000,60467,3,MZ,1,100,15
1574867959.139195,344826.000,60467,3,MZ,1,100,17
1574867959.180023,344860.333,60485,3,MZ,1,100,17
1574867959.220852,344894.667,60485,3,MZ,1,100,19
1574867959.261680,344929.000,60485,3,MZ,1,100,18
1574867959.302905,344963.667,60503,3,MZ,1,100,19
1574867959.344130,344998.333,60503,3,MZ,1,100,19
1574867959.385355,345033.000,60503,3,MZ,1,100,20
1574867959.425391,345066.667,60520,3,MZ,1,100,20
1574867959.465426,345100.333,60520,3,MZ,1,100,20
1574867959.505462,345134.000,60520,3,MZ,1,100,21
1574867959.543119,345165.667,60538,3,MZ,1,100,20
1574867959.580777,345197.333,60538,3,MZ,1,100,22
1574867959.618434,345229.000,60538,3,MZ,1,100,22
1574867959.658073,345262.333,60556,3,MZ,1,100,23
1574867959.697713,345295.667,60556,3,MZ,1,100,23
1574867959.737352,345329.000,60556,3,MZ,1,100,24
1574867959.781748,345366.333,60572,3,MZ,1,100,24
1574867959.826144,345403.667,60572,3,MZ,1,100,25
1574867959.870540,345441.000,60572,3,MZ,1,100,25
1574867959.911765,345475.667,60590,3,MZ,1,100,24
1574867959.952990,345510.333,60590,3,MZ,1,100,24
1574867959.994215,345545.000,60590,3,MZ,1,100,25
1574867960.035836,345580.000,60609,2,MZ,1,100,24
1574867960.077457,345615.000,60609,2,MZ,1,100,24
1574867960.115214,345646.750,60627,4,MZ,1,100,25
1574867960.152970,345678.500,60627,4,MZ,1,100,24
1574867960.190727,345710.250,60627,4,MZ,1,100,23
1574867960.228483,345742.000,60627,4,MZ,1,100,21
1574867960.268122,345775.333,60645,3,MZ,1,100,20
1574867960.307761,345808.667,60645,3,MZ,1,100,19
1574867960.347401,345842.000,60645,3,MZ,1,100,18
1574867960.388626,345876.667,60663,3,MZ,1,100,16
1574867960.429851,345911.333,60663,3,MZ,1,100,14
1574867960.471076,345946.000,60663,3,MZ,1,100,10
1574867960.512697,345981.000,60681,3,MZ,1,100, 9
1574867960.554318,346016.000,60681,3,MZ,1,100, 8
1574867960.595939,346051.000,60681,3,MZ,1,100, 9
1574867960.642317,346090.000,60698,2,MZ,1,100, 9
1574867960.688695,346129.000,60698,2,MZ,1,100, 7
1574867960.726154,346160.500,60717,6,MZ,1,100,13
1574867960.763613,346192.000,60717,6,MZ,1,100,13
1574867960.801073,346223.500,60717,6,MZ,1,100,11
1574867960.838532,346255.000,60717,6,MZ,1,100,10
