EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1574950477.048223,14348.000,1831,8,GY,1,100,-0.122
1574950477.048223,14348.000,1831,8,GY,1,100,0.305
1574950477.048223,14348.000,1831,8,GY,1,100,0.061
1574950477.048223,14348.000,1831,8,GY,1,100,-0.183
1574950477.048223,14348.000,1831,8,GY,1,100,-0.122
1574950477.048223,14348.000,1831,8,GY,1,100,0.366
1574950477.048223,14348.000,1831,8,GY,1,100,0.244
1574950477.048223,14348.000,1831,8,GY,1,100,-0.366
1574950477.088273,14381.667,1849,3,GY,1,100,-0.275
1574950477.128323,14415.333,1849,3,GY,1,100,-0.031
1574950477.168373,14449.000,1849,3,GY,1,100,0.000
1574950477.213181,14486.667,1867,3,GY,1,100,0.000
1574950477.257989,14524.333,1867,3,GY,1,100,-0.092
1574950477.302797,14562.000,1867,3,GY,1,100,-0.031
1574950477.341261,14594.333,1885,3,GY,1,100,-0.061
1574950477.379725,14626.667,1885,3,GY,1,100,-0.275
1574950477.418188,14659.000,1885,3,GY,1,100,-0.092
1574950477.463393,14697.000,1902,3,GY,1,100,0.275
1574950477.508598,14735.000,1902,3,GY,1,100,-0.275
1574950477.553802,14773.000,1902,3,GY,1,100,-0.458
1574950477.591870,14805.000,1921,3,GY,1,100,0.122
1574950477.629937,14837.000,1921,3,GY,1,100,0.610
1574950477.668004,14869.000,1921,3,GY,1,100,0.061
1574950477.709243,14903.667,1937,3,GY,1,100,-0.061
1574950477.750483,14938.333,1937,3,GY,1,100,0.275
1574950477.791722,14973.000,1937,3,GY,1,100,0.000
1574950477.838116,15012.000,1955,2,GY,1,100,-0.519
1574950477.884511,15051.000,1955,2,GY,1,100,-0.092
1574950477.921983,15082.500,1973,4,GY,1,100,0.031
1574950477.959455,15114.000,1973,4,GY,1,100,-0.305
1574950477.996928,15145.500,1973,4,GY,1,100,-0.122
1574950478.034400,15177.000,1973,4,GY,1,100,0.122
1574950478.080794,15216.000,1991,2,GY,1,100,-0.153
1574950478.127189,15255.000,1991,2,GY,1,100,-0.183
1574950478.165652,15287.333,2009,3,GY,1,100,-0.092
1574950478.204116,15319.667,2009,3,GY,1,100,-0.275
1574950478.242580,15352.000,2009,3,GY,1,100,-0.549
1574950478.281043,15384.333,2027,3,GY,1,100,0.031
1574950478.319507,15416.667,2027,3,GY,1,100,-0.153
1574950478.357971,15449.000,2027,3,GY,1,100,-0.244
1574950478.398417,15483.000,2045,3,GY,1,100,-0.031
1574950478.438864,15517.000,2045,3,GY,1,100,-0.061
1574950478.479310,15551.000,2045,3,GY,1,100,-0.061
1574950478.520549,15585.667,2063,3,GY,1,100,0.183
1574950478.561789,15620.333,2063,3,GY,1,100,-0.061
1574950478.603028,15655.000,2063,3,GY,1,100,-0.305
1574950478.643871,15689.333,2081,3,GY,1,100,0.061
1574950478.684714,15723.667,2081,3,GY,1,100,0.153
1574950478.725557,15758.000,2081,3,GY,1,100,0.092
1574950478.764813,15791.000,2099,3,GY,1,100,0.061
1574950478.804070,15824.000,2099,3,GY,1,100,0.092
1574950478.843327,15857.000,2099,3,GY,1,100,0.183
1574950478.881989,15889.500,2115,4,GY,1,100,-0.153
1574950478.920651,15922.000,2115,4,GY,1,100,0.153
1574950478.959313,15954.500,2115,4,GY,1,100,-0.061
1574950478.997975,15987.000,2115,4,GY,1,100,0.092
1574950479.036438,16019.333,2133,3,GY,1,100,0.122
1574950479.074902,16051.667,2133,3,GY,1,100,-0.122
1574950479.113366,16084.000,2133,3,GY,1,100,0.031
1574950479.152622,16117.000,2151,2,GY,1,100,0.031
1574950479.191879,16150.000,2151,2,GY,1,100,-0.214
1574950479.235498,16186.667,2169,3,GY,1,100,-0.153
1574950479.279116,16223.333,2169,3,GY,1,100,-0.061
1574950479.322735,16260.000,2169,3,GY,1,100,-0.061
1574950479.363578,16294.333,2187,3,GY,1,100,-0.183
1574950479.404421,16328.667,2187,3,GY,1,100,0.031
1574950479.445264,16363.000,2187,3,GY,1,100,0.092
1574950479.486106,16397.333,2205,3,GY,1,100,-0.244
1574950479.526949,16431.667,2205,3,GY,1,100,0.031
1574950479.567792,16466.000,2205,3,GY,1,100,-0.183
1574950479.606652,16498.667,2224,3,GY,1,100,-0.305
1574950479.645513,16531.333,2224,3,GY,1,100,-0.153
1574950479.684373,16564.000,2224,3,GY,1,100,-0.092
1574950479.722737,16596.250,2242,4,GY,1,100,0.000
1574950479.761102,16628.500,2242,4,GY,1,100,0.061
1574950479.799466,16660.750,2242,4,GY,1,100,-0.275
1574950479.837831,16693.000,2242,4,GY,1,100,-0.305
1574950479.877881,16726.667,2260,3,GY,1,100,-0.275
