EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1575568678.739561,32536.000,5128,6,PR,1,100,178527
1575568678.739561,32536.000,5128,6,PR,1,100,178518
1575568678.739561,32536.000,5128,6,PR,1,100,178484
1575568678.739561,32536.000,5128,6,PR,1,100,178525
1575568678.739561,32536.000,5128,6,PR,1,100,178550
1575568678.739561,32536.000,5128,6,PR,1,100,178610
1575568678.778813,32569.000,5146,3,PR,1,100,178673
1575568678.818066,32602.000,5146,3,PR,1,100,178722
1575568678.857319,32635.000,5146,3,PR,1,100,178778
1575568678.895779,32667.333,5164,3,PR,1,100,178834
1575568678.934239,32699.667,5164,3,PR,1,100,178857
1575568678.972699,32732.000,5164,3,PR,1,100,178717
1575568679.012745,32765.667,5182,3,PR,1,100,178500
1575568679.052790,32799.333,5182,3,PR,1,100,178370
1575568679.092836,32833.000,5182,3,PR,1,100,178363
1575568679.134072,32867.667,5198,3,PR,1,100,178355
1575568679.175307,32902.333,5198,3,PR,1,100,178349
1575568679.216542,32937.000,5198,3,PR,1,100,178380
1575568679.257381,32971.333,5216,3,PR,1,100,178417
1575568679.298220,33005.667,5216,3,PR,1,100,178438
1575568679.339059,33040.000,5216,3,PR,1,100,178480
1575568679.379898,33074.333,5234,3,PR,1,100,178508
1575568679.420737,33108.667,5234,3,PR,1,100,178575
1575568679.461576,33143.000,5234,3,PR,1,100,178643
1575568679.499639,33175.000,5252,3,PR,1,100,178708
1575568679.537702,33207.000,5252,3,PR,1,100,178771
1575568679.575766,33239.000,5252,3,PR,1,100,178831
1575568679.615019,33272.000,5270,3,PR,1,100,178873
1575568679.654271,33305.000,5270,3,PR,1,100,178942
1575568679.693524,33338.000,5270,3,PR,1,100,178998
1575568679.734760,33372.667,5288,3,PR,1,100,178896
1575568679.775995,33407.333,5288,3,PR,1,100,178683
1575568679.817230,33442.000,5288,3,PR,1,100,178576
1575568679.857673,33476.000,5307,3,PR,1,100,178562
1575568679.898115,33510.000,5307,3,PR,1,100,178576
1575568679.938557,33544.000,5307,3,PR,1,100,178552
1575568679.979396,33578.333,5324,3,PR,1,100,178634
1575568680.020235,33612.667,5324,3,PR,1,100,178682
1575568680.061074,33647.000,5324,3,PR,1,100,178711
1575568680.099137,33679.000,5342,3,PR,1,100,178715
1575568680.137201,33711.000,5342,3,PR,1,100,178712
1575568680.175264,33743.000,5342,3,PR,1,100,178757
1575568680.213724,33775.333,5360,3,PR,1,100,178804
1575568680.252184,33807.667,5360,3,PR,1,100,178882
1575568680.290644,33840.000,5360,3,PR,1,100,178988
1575568680.332672,33875.333,5377,3,PR,1,100,179034
1575568680.374700,33910.667,5377,3,PR,1,100,179071
1575568680.416729,33946.000,5377,3,PR,1,100,179126
1575568680.457567,33980.333,5394,3,PR,1,100,179071
1575568680.498406,34014.667,5394,3,PR,1,100,178879
1575568680.539245,34049.000,5394,3,PR,1,100,178729
1575568680.580877,34084.000,5412,3,PR,1,100,178736
1575568680.622509,34119.000,5412,3,PR,1,100,178760
1575568680.664141,34154.000,5412,3,PR,1,100,178753
1575568680.701808,34185.667,5430,3,PR,1,100,178772
1575568680.739475,34217.333,5430,3,PR,1,100,178797
1575568680.777142,34249.000,5430,3,PR,1,100,178807
1575568680.815998,34281.667,5448,3,PR,1,100,178826
1575568680.854854,34314.333,5448,3,PR,1,100,178855
1575568680.893711,34347.000,5448,3,PR,1,100,178894
1575568680.934946,34381.667,5467,3,PR,1,100,178942
1575568680.976181,34416.333,5467,3,PR,1,100,179015
1575568681.017417,34451.000,5467,3,PR,1,100,179076
1575568681.058255,34485.333,5485,3,PR,1,100,179130
1575568681.099094,34519.667,5485,3,PR,1,100,179164
1575568681.139933,34554.000,5485,3,PR,1,100,179225
1575568681.181169,34588.667,5503,3,PR,1,100,179261
1575568681.222404,34623.333,5503,3,PR,1,100,179140
1575568681.263639,34658.000,5503,3,PR,1,100,178919
1575568681.304081,34692.000,5520,3,PR,1,100,178865
1575568681.344524,34726.000,5520,3,PR,1,100,178865
1575568681.384966,34760.000,5520,3,PR,1,100,178883
1575568681.423823,34792.667,5538,3,PR,1,100,178845
1575568681.462679,34825.333,5538,3,PR,1,100,178843
1575568681.501535,34858.000,5538,3,PR,1,100,178856
1575568681.538409,34889.000,5556,3,PR,1,100,178863
1575568681.575283,34920.000,5556,3,PR,1,100,178884
1575568681.612157,34951.000,5556,3,PR,1,100,178910
1575568681.656961,34988.667,5572,3,PR,1,100,178969
1575568681.701765,35026.333,5572,3,PR,1,100,178983
1575568681.746568,35064.000,5572,3,PR,1,100,179090
1575568681.787606,35098.500,5590,2,PR,1,100,179157
1575568681.828643,35133.000,5590,2,PR,1,100,179200
1575568681.867301,35165.500,5609,4,PR,1,100,179260
1575568681.905959,35198.000,5609,4,PR,1,100,179263
1575568681.944617,35230.500,5609,4,PR,1,100,179272
1575568681.983275,35263.000,5609,4,PR,1,100,179177
1575568682.021735,35295.333,5627,3,PR,1,100,178970
1575568682.060195,35327.667,5627,3,PR,1,100,178938
1575568682.098655,35360.000,5627,3,PR,1,100,178958
1575568682.138304,35393.333,5645,3,PR,1,100,178987
1575568682.177953,35426.667,5645,3,PR,1,100,178934
1575568682.217603,35460.000,5645,3,PR,1,100,178894
1575568682.258838,35494.667,5663,3,PR,1,100,178915
1575568682.300074,35529.333,5663,3,PR,1,100,178918
1575568682.341309,35564.000,5663,3,PR,1,100,178929
1575568682.382544,35598.667,5681,3,PR,1,100,178962
1575568682.423780,35633.333,5681,3,PR,1,100,178994
1575568682.465015,35668.000,5681,3,PR,1,100,179041
1575568682.505061,35701.667,5698,3,PR,1,100,179102
1575568682.545107,35735.333,5698,3,PR,1,100,179142
1575568682.585153,35769.000,5698,3,PR,1,100,179192
1575568682.623612,35801.333,5716,3,PR,1,100,179226
1575568682.662072,35833.667,5716,3,PR,1,100,179273
1575568682.700532,35866.000,5716,3,PR,1,100,179322
1575568682.738992,35898.333,5734,3,PR,1,100,179374
1575568682.777452,35930.667,5734,3,PR,1,100,179313
1575568682.815912,35963.000,5734,3,PR,1,100,179101
1575568682.857147,35997.667,5751,3,PR,1,100,179040
1575568682.898383,36032.333,5751,3,PR,1,100,179055
1575568682.939618,36067.000,5751,3,PR,1,100,179077
1575568682.980853,36101.667,5769,3,PR,1,100,179059
1575568683.022089,36136.333,5769,3,PR,1,100,179074
1575568683.063324,36171.000,5769,3,PR,1,100,179089
1575568683.104163,36205.333,5787,3,PR,1,100,179095
1575568683.145002,36239.667,5787,3,PR,1,100,179101
1575568683.185841,36274.000,5787,3,PR,1,100,179134
1575568683.223904,36306.000,5805,3,PR,1,100,179157
1575568683.261967,36338.000,5805,3,PR,1,100,179215
1575568683.300031,36370.000,5805,3,PR,1,100,179253
1575568683.338887,36402.667,5823,3,PR,1,100,179283
1575568683.377743,36435.333,5823,3,PR,1,100,179337
1575568683.416600,36468.000,5823,3,PR,1,100,179354
1575568683.457042,36502.000,5841,3,PR,1,100,179375
1575568683.497484,36536.000,5841,3,PR,1,100,179341
1575568683.537927,36570.000,5841,3,PR,1,100,179221
1575568683.578369,36604.000,5859,3,PR,1,100,179145
1575568683.618812,36638.000,5859,3,PR,1,100,179201
1575568683.659254,36672.000,5859,3,PR,1,100,179273
1575568683.700886,36707.000,5876,3,PR,1,100,179282
1575568683.742518,36742.000,5876,3,PR,1,100,179311
1575568683.784149,36777.000,5876,3,PR,1,100,179360
1575568683.822213,36809.000,5894,3,PR,1,100,179427
1575568683.860276,36841.000,5894,3,PR,1,100,179532
1575568683.898340,36873.000,5894,3,PR,1,100,179633
1575568683.936800,36905.333,5913,3,PR,1,100,179744
1575568683.975259,36937.667,5913,3,PR,1,100,179822
1575568684.013719,36970.000,5913,3,PR,1,100,179898
1575568684.054162,37004.000,5929,3,PR,1,100,179984
1575568684.094604,37038.000,5929,3,PR,1,100,180068
1575568684.135046,37072.000,5929,3,PR,1,100,180153
1575568684.176678,37107.000,5947,3,PR,1,100,180237
1575568684.218310,37142.000,5947,3,PR,1,100,180288
1575568684.259942,37177.000,5947,3,PR,1,100,180226
