EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1575568678.753834,32548.000,5134,2,TH,1,100,16404
1575568678.753834,32548.000,5134,2,TH,1,100,16406
1575568678.882298,32656.000,5170,1,TH,1,100,16450
1575568679.011952,32765.000,5187,1,TH,1,100,16438
1575568679.146363,32878.000,5204,1,TH,1,100,16428
1575568679.281964,32992.000,5222,1,TH,1,100,16396
1575568679.424701,33112.000,5240,1,TH,1,100,16404
1575568679.549597,33217.000,5258,1,TH,1,100,16424
1575568679.681629,33328.000,5276,1,TH,1,100,16408
1575568679.817230,33442.000,5294,1,TH,1,100,16396
1575568679.952831,33556.000,5330,1,TH,1,100,16390
1575568680.088432,33670.000,5348,1,TH,1,100,16392
1575568680.213327,33775.000,5365,1,TH,1,100,16422
1575568680.342981,33884.000,5383,1,TH,1,100,16510
1575568680.483340,34002.000,5400,1,TH,1,100,16358
1575568680.623698,34120.000,5418,1,TH,1,100,16372
1575568680.748594,34225.000,5436,1,TH,1,100,16422
1575568680.878247,34334.000,5454,1,TH,1,100,16426
1575568681.017417,34451.000,5473,1,TH,1,100,16394
1575568681.150639,34563.000,5491,1,TH,1,100,16364
1575568681.289808,34680.000,5526,1,TH,1,100,16378
1575568681.413514,34784.000,5544,1,TH,1,100,16410
1575568681.541978,34892.000,5561,1,TH,1,100,16418
1575568681.678768,35007.000,5578,1,TH,1,100,16396
1575568681.817937,35124.000,5596,1,TH,1,100,16370
1575568681.947591,35233.000,5615,1,TH,1,100,16406
1575568682.073676,35339.000,5633,1,TH,1,100,16422
1575568682.208087,35452.000,5651,1,TH,1,100,16406
1575568682.343688,35566.000,5669,1,TH,1,100,16382
1575568682.480478,35681.000,5704,1,TH,1,100,16346
1575568682.613700,35793.000,5722,1,TH,1,100,16404
1575568682.738596,35898.000,5739,1,TH,1,100,16414
1575568682.871818,36010.000,5757,1,TH,1,100,16396
1575568683.010987,36127.000,5775,1,TH,1,100,16364
1575568683.148967,36243.000,5793,1,TH,1,100,16392
1575568683.277431,36351.000,5811,1,TH,1,100,16402
1575568683.407084,36460.000,5829,1,TH,1,100,16416
1575568683.540306,36572.000,5847,1,TH,1,100,16390
1575568683.677096,36687.000,5882,1,TH,1,100,16384
1575568683.812697,36801.000,5900,1,TH,1,100,16376
1575568683.938782,36907.000,5918,1,TH,1,100,16454
1575568684.072004,37019.000,5935,1,TH,1,100,16408
1575568684.211173,37136.000,5953,1,TH,1,100,16394
1575568684.344395,37248.000,5971,1,TH,1,100,16432
1575568684.478806,37361.000,5989,1,TH,1,100,16436
1575568684.607270,37469.000,6007,1,TH,1,100,16430
1575568684.739303,37580.000,6028,1,TH,1,100,16426
1575568684.878472,37697.000,6049,1,TH,1,100,16410
1575568685.017641,37814.000,6067,1,TH,1,100,16456
1575568685.140158,37917.000,6085,1,TH,1,100,16432
1575568685.268622,38025.000,6103,1,TH,1,100,16456
1575568685.407791,38142.000,6121,1,TH,1,100,16446
1575568685.541013,38254.000,6139,1,TH,1,100,16426
1575568685.678993,38370.000,6174,1,TH,1,100,16404
1575568685.806267,38477.000,6193,1,TH,1,100,16442
1575568685.937110,38587.000,6210,1,TH,1,100,16438
1575568686.071522,38700.000,6227,1,TH,1,100,16426
1575568686.211880,38818.000,6245,1,TH,1,100,16400
1575568686.343913,38929.000,6263,1,TH,1,100,16448
1575568686.473566,39038.000,6281,1,TH,1,100,16430
1575568686.604409,39148.000,6299,1,TH,1,100,16412
1575568686.740010,39262.000,6317,1,TH,1,100,16406
1575568686.879179,39379.000,6353,1,TH,1,100,16374
1575568687.007643,39487.000,6371,1,TH,1,100,16440
1575568687.133728,39593.000,6388,1,TH,1,100,16450
1575568687.269329,39707.000,6405,1,TH,1,100,16446
1575568687.408498,39824.000,6423,1,TH,1,100,16378
1575568687.541720,39936.000,6441,1,TH,1,100,16418
1575568687.668994,40043.000,6459,1,TH,1,100,16442
1575568687.802216,40155.000,6477,1,TH,1,100,16444
1575568687.935438,40267.000,6496,1,TH,1,100,16418
1575568688.074607,40384.000,6531,1,TH,1,100,16398
1575568688.211398,40499.000,6549,1,TH,1,100,16420
1575568688.333914,40602.000,6566,1,TH,1,100,16424
1575568688.468326,40715.000,6583,1,TH,1,100,16428
1575568688.607495,40832.000,6601,1,TH,1,100,16408
1575568688.740717,40944.000,6619,1,TH,1,100,16406
1575568688.869181,41052.000,6637,1,TH,1,100,16440
1575568688.997645,41160.000,6656,1,TH,1,100,16426
1575568689.133245,41274.000,6674,1,TH,1,100,16412
1575568689.265278,41385.000,6692,1,TH,1,100,16400
1575568689.405637,41503.000,6727,1,TH,1,100,16368
1575568689.542427,41618.000,6744,1,TH,1,100,16432
1575568689.675649,41730.000,6761,1,TH,1,100,16406
1575568689.802923,41837.000,6779,1,TH,1,100,16392
1575568689.936145,41949.000,6798,1,TH,1,100,16382
1575568690.071746,42063.000,6816,1,TH,1,100,16426
1575568690.214484,42183.000,6834,1,TH,1,100,16416
1575568690.340569,42289.000,6852,1,TH,1,100,16390
1575568690.470222,42398.000,6870,1,TH,1,100,16390
1575568690.604634,42511.000,6905,1,TH,1,100,16378
1575568690.741424,42626.000,6926,2,TH,1,100,16430
1575568690.878214,42741.000,6926,2,TH,1,100,16424
1575568691.003110,42846.000,6947,1,TH,1,100,16424
1575568691.132763,42955.000,6965,1,TH,1,100,16396
1575568691.269553,43070.000,7000,1,TH,1,100,16356
1575568691.408723,43187.000,7017,1,TH,1,100,16406
1575568691.539566,43297.000,7034,1,TH,1,100,16426
1575568691.665651,43403.000,7052,1,TH,1,100,16392
1575568691.800062,43516.000,7070,1,TH,1,100,16392
1575568691.935663,43630.000,7089,1,TH,1,100,16392
1575568692.073642,43746.000,7107,1,TH,1,100,16414
1575568692.200917,43853.000,7125,1,TH,1,100,16388
1575568692.327002,43959.000,7143,1,TH,1,100,16388
1575568692.461413,44072.000,7161,1,TH,1,100,16378
1575568692.600583,44189.000,7196,1,TH,1,100,16364
1575568692.734994,44302.000,7213,1,TH,1,100,16418
1575568692.861079,44408.000,7231,1,TH,1,100,16402
1575568692.993111,44519.000,7249,1,TH,1,100,16376
1575568693.123954,44629.000,7267,1,TH,1,100,16372
1575568693.250039,44735.000,7285,1,TH,1,100,16378
1575568693.380882,44845.000,7303,1,TH,1,100,16394
1575568693.515294,44958.000,7321,1,TH,1,100,16404
1575568693.649705,45071.000,7339,1,TH,1,100,16376
1575568693.787685,45187.000,7375,1,TH,1,100,16364
1575568693.913770,45293.000,7393,1,TH,1,100,16364
1575568694.043423,45402.000,7411,1,TH,1,100,16384
1575568694.183782,45520.000,7428,1,TH,1,100,16388
1575568694.320572,45635.000,7445,1,TH,1,100,16370
1575568694.453794,45747.000,7463,1,TH,1,100,16378
1575568694.579879,45853.000,7481,1,TH,1,100,16376
1575568694.711911,45964.000,7499,1,TH,1,100,16392
1575568694.849891,46080.000,7517,1,TH,1,100,16366
1575568694.989060,46197.000,7553,1,TH,1,100,16360
1575568695.112767,46301.000,7571,1,TH,1,100,16358
1575568695.243609,46411.000,7589,1,TH,1,100,16362
1575568695.383968,46529.000,7606,1,TH,1,100,16388
1575568695.518379,46642.000,7623,1,TH,1,100,16374
1575568695.655170,46757.000,7641,1,TH,1,100,16360
1575568695.782444,46864.000,7659,1,TH,1,100,16366
1575568695.913287,46974.000,7678,1,TH,1,100,16372
1575568696.050077,47089.000,7696,1,TH,1,100,16368
1575568696.189247,47206.000,7714,1,TH,1,100,16348
1575568696.314142,47311.000,7749,1,TH,1,100,16344
1575568696.441417,47418.000,7767,1,TH,1,100,16366
1575568696.578207,47533.000,7784,1,TH,1,100,16372
1575568696.712618,47646.000,7801,1,TH,1,100,16378
1575568696.850598,47762.000,7823,1,TH,1,100,16302
1575568696.992146,47881.000,7843,1,TH,1,100,16338
1575568697.122989,47991.000,7861,1,TH,1,100,16342
1575568697.250264,48098.000,7878,1,TH,1,100,16372
1575568697.383486,48210.000,7895,1,TH,1,100,16354
1575568697.520276,48325.000,7913,1,TH,1,100,16338
1575568697.654687,48438.000,7931,1,TH,1,100,16364
1575568697.798615,48559.000,7949,1,TH,1,100,16352
1575568697.934215,48673.000,7968,1,TH,1,100,16354
1575568698.060300,48779.000,7986,1,TH,1,100,16328
1575568698.191143,48889.000,8021,1,TH,1,100,16348
1575568698.326744,49003.000,8038,1,TH,1,100,16358
1575568698.465914,49120.000,8055,1,TH,1,100,16344
1575568698.599135,49232.000,8073,1,TH,1,100,16306
1575568698.725220,49338.000,8091,1,TH,1,100,16344
1575568698.858442,49450.000,8110,1,TH,1,100,16344
1575568698.994043,49564.000,8128,1,TH,1,100,16364
1575568699.130833,49679.000,8146,1,TH,1,100,16334
1575568699.261676,49789.000,8181,1,TH,1,100,16314
1575568699.391330,49898.000,8199,1,TH,1,100,16332
1575568699.522172,50008.000,8216,1,TH,1,100,16332
1575568699.662531,50126.000,8233,1,TH,1,100,16356
1575568699.802890,50244.000,8251,1,TH,1,100,16300
1575568699.925407,50347.000,8270,1,TH,1,100,16338
1575568700.057439,50458.000,8288,1,TH,1,100,16344
1575568700.197798,50576.000,8306,1,TH,1,100,16384
1575568700.331020,50688.000,8324,1,TH,1,100,16328
1575568700.463052,50799.000,8359,1,TH,1,100,16282
1575568700.587948,50904.000,8377,1,TH,1,100,16324
1575568700.719980,51015.000,8394,1,TH,1,100,16332
1575568700.857960,51131.000,8413,1,TH,1,100,16362
1575568701.000697,51251.000,8430,1,TH,1,100,16284
1575568701.136298,51365.000,8448,1,TH,1,100,16336
1575568701.273089,51480.000,8466,1,TH,1,100,16362
1575568701.400363,51587.000,8484,1,TH,1,100,16326
1575568701.531206,51697.000,8502,1,TH,1,100,16332
1575568701.664428,51809.000,8537,1,TH,1,100,16316
1575568701.804787,51927.000,8554,1,TH,1,100,16338
1575568701.938009,52039.000,8572,1,TH,1,100,16366
1575568702.065283,52146.000,8590,1,TH,1,100,16330
1575568702.196126,52256.000,8608,1,TH,1,100,16320
1575568702.324590,52364.000,8626,1,TH,1,100,16316
1575568702.461380,52479.000,8644,1,TH,1,100,16346
1575568702.596981,52593.000,8662,1,TH,1,100,16364
1575568702.732582,52707.000,8680,1,TH,1,100,16336
1575568702.859856,52814.000,8698,1,TH,1,100,16304
1575568702.990699,52924.000,8720,1,TH,1,100,16298
1575568703.125111,53037.000,8740,1,TH,1,100,16322
1575568703.264280,53154.000,8758,1,TH,1,100,16356
1575568703.398691,53267.000,8776,1,TH,1,100,16338
1575568703.522397,53371.000,8794,1,TH,1,100,16334
1575568703.657998,53485.000,8829,1,TH,1,100,16312
1575568703.797167,53602.000,8846,1,TH,1,100,16330
1575568703.931579,53715.000,8864,1,TH,1,100,16398
1575568704.061232,53824.000,8882,1,TH,1,100,16334
1575568704.190886,53933.000,8900,1,TH,1,100,16294
1575568704.325297,54046.000,8918,1,TH,1,100,16328
1575568704.463277,54162.000,8936,1,TH,1,100,16366
1575568704.598877,54276.000,8954,1,TH,1,100,16346
1575568704.722584,54380.000,8972,1,TH,1,100,16334
1575568704.853426,54490.000,8990,1,TH,1,100,16326
1575568704.986648,54602.000,9026,1,TH,1,100,16326
1575568705.123439,54717.000,9043,1,TH,1,100,16360
1575568705.259039,54831.000,9060,1,TH,1,100,16358
1575568705.402967,54952.000,9078,1,TH,1,100,16312
1575568705.527862,55057.000,9096,1,TH,1,100,16366
1575568705.656326,55165.000,9114,1,TH,1,100,16348
1575568705.794306,55281.000,9132,1,TH,1,100,16352
1575568705.931096,55396.000,9151,1,TH,1,100,16334
1575568706.069076,55512.000,9186,1,TH,1,100,16300
1575568706.193971,55617.000,9204,1,TH,1,100,16362
1575568706.322435,55725.000,9221,1,TH,1,100,16360
1575568706.460415,55841.000,9238,1,TH,1,100,16360
