RD,TS_received,TS_sent,AK,RoundTrip,
37546,37556,2019-12-05_13-58-04-667626,37559,10,
42654,42661,2019-12-05_13-58-10-732664,42664,7,
47762,47769,2019-12-05_13-58-16-831813,47772,7,
52870,52901,2019-12-05_13-58-22-931065,52904,31,
57978,57988,2019-12-05_13-58-28-994390,57991,10,
63086,63093,2019-12-05_13-58-35-063987,63097,7,
68194,68201,2019-12-05_13-58-41-137824,68204,7,
73302,73465,2019-12-05_13-58-47-366682,73469,163,
78410,78486,2019-12-05_13-58-53-376128,78491,76,
83518,83569,2019-12-05_13-58-59-427551,83573,51,
88626,88636,2019-12-05_13-59-05-453189,88639,10,
93734,93741,2019-12-05_13-59-11-535500,93745,7,
98845,98855,2019-12-05_13-59-17-605477,98858,10,
103953,103959,2019-12-05_13-59-23-692862,103962,6,
109061,109070,2019-12-05_13-59-29-757069,109074,9,
114169,114184,2019-12-05_13-59-35-839697,114188,15,
119277,119302,2019-12-05_13-59-41-919244,119305,25,
124385,124402,2019-12-05_13-59-47-999765,124406,17,
129493,129503,2019-12-05_13-59-54-052810,129506,10,
134601,134610,2019-12-05_14-00-00-128509,134613,9,
139709,139878,2019-12-05_14-00-06-206914,139881,169,
144817,144915,2019-12-05_14-00-12-390791,144918,98,
149925,150094,2019-12-05_14-00-18-484805,150097,169,
155033,155041,2019-12-05_14-00-24-442287,155044,8,
160141,160149,2019-12-05_14-00-30-507064,160152,8,
165249,165261,2019-12-05_14-00-36-578347,165265,12,
170357,170369,2019-12-05_14-00-42-640355,170372,12,
175465,175471,2019-12-05_14-00-48-720671,175474,6,
180573,180589,2019-12-05_14-00-54-806228,180592,16,
185681,185704,2019-12-05_14-01-00-882914,185709,23,
190789,190794,2019-12-05_14-01-06-943620,190797,5,
195897,195905,2019-12-05_14-01-13-008474,195908,8,
201005,201013,2019-12-05_14-01-19-074201,201016,8,
206113,206124,2019-12-05_14-01-25-142347,206127,11,
211221,211410,2019-12-05_14-01-31-429056,211414,189,
216329,216384,2019-12-05_14-01-37-353405,216387,55,
221437,221501,2019-12-05_14-01-43-453251,221505,64,
226545,226553,2019-12-05_14-01-49-451313,226556,8,
231653,231661,2019-12-05_14-01-55-525477,231664,8,
236761,236765,2019-12-05_14-02-01-590415,236768,4,
241869,241876,2019-12-05_14-02-07-680800,241880,7,
246977,246986,2019-12-05_14-02-13-748945,246989,9,
252085,252099,2019-12-05_14-02-19-830961,252102,14,
257194,257202,2019-12-05_14-02-25-880253,257205,8,
262302,262309,2019-12-05_14-02-31-961397,262312,7,
267410,267451,2019-12-05_14-02-38-081990,267454,41,
272518,272525,2019-12-05_14-02-44-124782,272528,7,
277626,277634,2019-12-05_14-02-50-189189,277638,8,
282734,282829,2019-12-05_14-02-56-382336,282832,95,
287842,287858,2019-12-05_14-03-02-358732,287861,16,
292950,292959,2019-12-05_14-03-08-433236,292962,9,
298058,298070,2019-12-05_14-03-14-508201,298073,12,
303166,303173,2019-12-05_14-03-20-576601,303177,7,
308274,308282,2019-12-05_14-03-26-642666,308285,8,
313382,313394,2019-12-05_14-03-32-740241,313397,12,
318490,318498,2019-12-05_14-03-38-815284,318503,8,
323598,323604,2019-12-05_14-03-44-895471,323607,6,
329271,329286,2019-12-05_14-03-51-656653,329290,15,
334379,334392,2019-12-05_14-03-57-719078,334395,13,
339487,339496,2019-12-05_14-04-03-792767,339499,9,
344595,344602,2019-12-05_14-04-09-867166,344606,7,
349703,349712,2019-12-05_14-04-15-968913,349715,9,
354811,354818,2019-12-05_14-04-22-042028,354822,7,
359919,359925,2019-12-05_14-04-28-123048,359928,6,
365027,365188,2019-12-05_14-04-34-368632,365192,161,
370135,370294,2019-12-05_14-04-40-396630,370297,159,
375243,375262,2019-12-05_14-04-46-362252,375266,19,
380351,380358,2019-12-05_14-04-52-424732,380361,7,
385459,385466,2019-12-05_14-04-58-494202,385471,7,
390567,390572,2019-12-05_14-05-04-558488,390575,5,
