EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1575664583.366004,116841.000,19961,12,GX,1,100,0.061
1575664583.366004,116841.000,19961,12,GX,1,100,-1.068
1575664583.366004,116841.000,19961,12,GX,1,100,-0.214
1575664583.366004,116841.000,19961,12,GX,1,100,0.458
1575664583.366004,116841.000,19961,12,GX,1,100,0.092
1575664583.366004,116841.000,19961,12,GX,1,100,-0.305
1575664583.366004,116841.000,19961,12,GX,1,100,-0.214
1575664583.366004,116841.000,19961,12,GX,1,100,-0.183
1575664583.366004,116841.000,19961,12,GX,1,100,-0.092
1575664583.366004,116841.000,19961,12,GX,1,100,-0.916
1575664583.366004,116841.000,19961,12,GX,1,100,0.610
1575664583.366004,116841.000,19961,12,GX,1,100,-0.214
1575664583.405769,116874.500,19977,2,GX,1,100,-2.411
1575664583.445534,116908.000,19977,2,GX,1,100,-2.045
1575664583.489057,116944.667,19995,3,GX,1,100,0.214
1575664583.532581,116981.333,19995,3,GX,1,100,0.580
1575664583.576105,117018.000,19995,3,GX,1,100,-1.648
1575664583.617254,117052.667,20013,3,GX,1,100,-1.007
1575664583.658404,117087.333,20013,3,GX,1,100,-1.099
1575664583.699554,117122.000,20013,3,GX,1,100,-0.488
1575664583.741099,117157.000,20031,3,GX,1,100,0.183
1575664583.782645,117192.000,20031,3,GX,1,100,-0.488
1575664583.824190,117227.000,20031,3,GX,1,100,-0.122
1575664583.861778,117258.667,20049,3,GX,1,100,-1.404
1575664583.899367,117290.333,20049,3,GX,1,100,-0.580
1575664583.936956,117322.000,20049,3,GX,1,100,0.031
1575664583.976127,117355.000,20067,3,GX,1,100,-0.763
1575664584.015298,117388.000,20067,3,GX,1,100,0.031
1575664584.054470,117421.000,20067,3,GX,1,100,0.397
1575664584.094432,117454.667,20086,3,GX,1,100,-0.427
1575664584.134395,117488.333,20086,3,GX,1,100,0.580
1575664584.174358,117522.000,20086,3,GX,1,100,-0.031
1575664584.219860,117560.333,20103,3,GX,1,100,-0.519
1575664584.265362,117598.667,20103,3,GX,1,100,0.244
1575664584.310864,117637.000,20103,3,GX,1,100,-1.099
1575664584.351618,117671.333,20121,3,GX,1,100,-0.031
1575664584.392372,117705.667,20121,3,GX,1,100,-0.397
1575664584.433126,117740.000,20121,3,GX,1,100,-1.282
1575664584.470715,117771.667,20139,3,GX,1,100,-1.465
1575664584.508303,117803.333,20139,3,GX,1,100,-1.312
1575664584.545892,117835.000,20139,3,GX,1,100,-0.153
1575664584.582689,117866.000,20156,3,GX,1,100,1.068
1575664584.619487,117897.000,20156,3,GX,1,100,-0.214
1575664584.656284,117928.000,20156,3,GX,1,100,-0.519
1575664584.697829,117963.000,20173,3,GX,1,100,1.770
1575664584.739375,117998.000,20173,3,GX,1,100,-0.183
1575664584.780920,118033.000,20173,3,GX,1,100,0.702
1575664584.822070,118067.667,20191,3,GX,1,100,0.854
1575664584.863219,118102.333,20191,3,GX,1,100,-1.221
1575664584.904369,118137.000,20191,3,GX,1,100,-1.007
1575664584.949080,118174.667,20209,3,GX,1,100,0.549
1575664584.993790,118212.333,20209,3,GX,1,100,-1.251
1575664585.038501,118250.000,20209,3,GX,1,100,2.197
1575664585.076485,118282.000,20227,3,GX,1,100,0.702
1575664585.114470,118314.000,20227,3,GX,1,100,-1.923
1575664585.152454,118346.000,20227,3,GX,1,100,0.763
1575664585.193604,118380.667,20246,3,GX,1,100,0.793
1575664585.234754,118415.333,20246,3,GX,1,100,-0.183
1575664585.275903,118450.000,20246,3,GX,1,100,0.732
1575664585.313492,118481.667,20264,3,GX,1,100,0.397
1575664585.351080,118513.333,20264,3,GX,1,100,-0.793
1575664585.388669,118545.000,20264,3,GX,1,100,1.251
1575664585.427445,118577.667,20282,3,GX,1,100,0.854
1575664585.466221,118610.333,20282,3,GX,1,100,0.549
1575664585.504996,118643.000,20282,3,GX,1,100,-0.427
1575664585.545750,118677.333,20299,3,GX,1,100,-0.549
1575664585.586504,118711.667,20299,3,GX,1,100,-0.580
1575664585.627258,118746.000,20299,3,GX,1,100,-0.793
1575664585.668804,118781.000,20317,3,GX,1,100,0.397
1575664585.710349,118816.000,20317,3,GX,1,100,-0.977
1575664585.751894,118851.000,20317,3,GX,1,100,-1.007
1575664585.793044,118885.667,20333,3,GX,1,100,0.549
1575664585.834194,118920.333,20333,3,GX,1,100,-0.885
1575664585.875343,118955.000,20333,3,GX,1,100,-0.244
1575664585.916889,118990.000,20351,3,GX,1,100,-0.427
1575664585.958434,119025.000,20351,3,GX,1,100,-0.488
1575664585.999979,119060.000,20351,3,GX,1,100,0.092
1575664586.042118,119095.500,20369,2,GX,1,100,-1.007
1575664586.084257,119131.000,20369,2,GX,1,100,-0.183
1575664586.122241,119163.000,20388,3,GX,1,100,0.244
1575664586.160226,119195.000,20388,3,GX,1,100,-1.282
1575664586.198210,119227.000,20388,3,GX,1,100,0.549
1575664586.236788,119259.500,20406,4,GX,1,100,-0.671
1575664586.275366,119292.000,20406,4,GX,1,100,-0.946
1575664586.313944,119324.500,20406,4,GX,1,100,-0.244
1575664586.352521,119357.000,20406,4,GX,1,100,-0.244
1575664586.398221,119395.500,20424,2,GX,1,100,0.214
1575664586.443921,119434.000,20424,2,GX,1,100,-1.221
1575664586.483884,119467.667,20442,3,GX,1,100,0.031
1575664586.523847,119501.333,20442,3,GX,1,100,0.122
1575664586.563809,119535.000,20442,3,GX,1,100,-0.397
1575664586.605355,119570.000,20459,3,GX,1,100,0.122
1575664586.646900,119605.000,20459,3,GX,1,100,-0.946
1575664586.688445,119640.000,20459,3,GX,1,100,-0.275
1575664586.726825,119672.333,20477,3,GX,1,100,-0.793
1575664586.765205,119704.667,20477,3,GX,1,100,-0.153
1575664586.803585,119737.000,20477,3,GX,1,100,-1.465
1575664586.841174,119768.667,20495,3,GX,1,100,0.000
1575664586.878763,119800.333,20495,3,GX,1,100,-0.519
1575664586.916351,119832.000,20495,3,GX,1,100,-1.404
1575664586.959875,119868.667,20511,3,GX,1,100,0.183
1575664587.003399,119905.333,20511,3,GX,1,100,-0.275
1575664587.046922,119942.000,20511,3,GX,1,100,0.092
1575664587.088072,119976.667,20530,3,GX,1,100,0.153
1575664587.129222,120011.333,20530,3,GX,1,100,0.427
1575664587.170372,120046.000,20530,3,GX,1,100,0.092
1575664587.211521,120080.667,20548,3,GX,1,100,-0.763
1575664587.252671,120115.333,20548,3,GX,1,100,0.153
1575664587.293821,120150.000,20548,3,GX,1,100,-0.854
1575664587.333388,120183.333,20566,3,GX,1,100,-1.038
1575664587.372955,120216.667,20566,3,GX,1,100,0.702
1575664587.412522,120250.000,20566,3,GX,1,100,-1.312
1575664587.450110,120281.667,20584,3,GX,1,100,-0.214
1575664587.487699,120313.333,20584,3,GX,1,100,-0.122
1575664587.525288,120345.000,20584,3,GX,1,100,-0.763
1575664587.564855,120378.333,20602,3,GX,1,100,-0.580
1575664587.604422,120411.667,20602,3,GX,1,100,0.732
1575664587.643989,120445.000,20602,3,GX,1,100,-0.427
1575664587.689095,120483.000,20620,3,GX,1,100,-1.099
1575664587.734201,120521.000,20620,3,GX,1,100,0.061
1575664587.779308,120559.000,20620,3,GX,1,100,-0.671
1575664587.820457,120593.667,20637,3,GX,1,100,0.061
1575664587.861607,120628.333,20637,3,GX,1,100,-0.549
1575664587.902757,120663.000,20637,3,GX,1,100,-0.427
1575664587.941928,120696.000,20655,3,GX,1,100,-0.580
1575664587.981099,120729.000,20655,3,GX,1,100,-0.763
1575664588.020271,120762.000,20655,3,GX,1,100,-0.519
1575664588.058651,120794.333,20673,3,GX,1,100,-0.580
1575664588.097031,120826.667,20673,3,GX,1,100,-0.031
1575664588.135411,120859.000,20673,3,GX,1,100,-0.122
1575664588.173791,120891.333,20692,3,GX,1,100,-0.824
1575664588.212171,120923.667,20692,3,GX,1,100,-0.305
1575664588.250551,120956.000,20692,3,GX,1,100,-0.549
1575664588.291700,120990.667,20708,3,GX,1,100,0.549
1575664588.332850,121025.333,20708,3,GX,1,100,-0.122
1575664588.374000,121060.000,20708,3,GX,1,100,-1.099
1575664588.419106,121098.000,20726,3,GX,1,100,-0.214
1575664588.464213,121136.000,20726,3,GX,1,100,-0.732
1575664588.509319,121174.000,20726,3,GX,1,100,0.275
1575664588.547303,121206.000,20744,3,GX,1,100,-0.092
1575664588.585288,121238.000,20744,3,GX,1,100,-0.702
1575664588.623272,121270.000,20744,3,GX,1,100,-0.824
1575664588.670752,121310.000,20762,2,GX,1,100,-0.305
1575664588.718233,121350.000,20762,2,GX,1,100,0.671
1575664588.757107,121382.750,20780,4,GX,1,100,-0.885
1575664588.795982,121415.500,20780,4,GX,1,100,-0.183
