EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1576518600.256910,33637.000,5345,5,PG,1,100,11105
1576518600.256910,33637.000,5345,5,PG,1,100,11055
1576518600.256910,33637.000,5345,5,PG,1,100,11050
1576518600.256910,33637.000,5345,5,PG,1,100,11035
1576518600.256910,33637.000,5345,5,PG,1,100,10943
1576518600.295354,33669.333,5363,3,PG,1,100,10850
1576518600.333797,33701.667,5363,3,PG,1,100,10804
1576518600.372241,33734.000,5363,3,PG,1,100,10769
1576518600.413856,33769.000,5381,3,PG,1,100,10690
1576518600.455470,33804.000,5381,3,PG,1,100,10717
1576518600.497084,33839.000,5381,3,PG,1,100,10743
1576518600.536321,33872.000,5398,3,PG,1,100,10701
1576518600.575557,33905.000,5398,3,PG,1,100,10651
1576518600.614794,33938.000,5398,3,PG,1,100,10633
1576518600.652841,33970.000,5416,3,PG,1,100,10637
1576518600.690888,34002.000,5416,3,PG,1,100,10648
1576518600.728936,34034.000,5416,3,PG,1,100,10654
1576518600.768569,34067.333,5434,3,PG,1,100,10660
1576518600.808201,34100.667,5434,3,PG,1,100,10658
1576518600.847834,34134.000,5434,3,PG,1,100,10604
1576518600.888656,34168.333,5450,3,PG,1,100,10537
1576518600.929477,34202.667,5450,3,PG,1,100,10495
1576518600.970299,34237.000,5450,3,PG,1,100,10441
1576518601.011517,34271.667,5469,3,PG,1,100,10417
1576518601.052735,34306.333,5469,3,PG,1,100,10415
1576518601.093953,34341.000,5469,3,PG,1,100,10382
1576518601.133982,34374.667,5487,3,PG,1,100,10370
1576518601.174011,34408.333,5487,3,PG,1,100,10356
1576518601.214040,34442.000,5487,3,PG,1,100,10324
1576518601.254466,34476.000,5505,3,PG,1,100,10333
1576518601.294891,34510.000,5505,3,PG,1,100,10382
1576518601.335316,34544.000,5505,3,PG,1,100,10406
1576518601.374553,34577.000,5523,3,PG,1,100,10368
1576518601.413789,34610.000,5523,3,PG,1,100,10394
1576518601.453026,34643.000,5523,3,PG,1,100,10368
1576518601.491073,34675.000,5541,4,PG,1,100,10278
1576518601.529120,34707.000,5541,4,PG,1,100,10204
1576518601.567168,34739.000,5541,4,PG,1,100,10167
1576518601.605215,34771.000,5541,4,PG,1,100,10145
1576518601.645641,34805.000,5559,3,PG,1,100,10158
1576518601.686066,34839.000,5559,3,PG,1,100,10141
1576518601.726491,34873.000,5559,3,PG,1,100,10098
1576518601.767511,34907.500,5577,2,PG,1,100,10121
1576518601.808531,34942.000,5577,2,PG,1,100,10154
