EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1576779110.215190,46134.000,7568,1,TL,1,100,2019-12-19_14-11-50-212690
1576779110.408564,46297.000,7588,1,TL,1,100,2019-12-19_14-11-50-381985
1576779116.277398,51244.000,8464,1,TL,1,100,2019-12-19_14-11-56-252298
1576779116.477890,51413.000,8484,1,TL,1,100,2019-12-19_14-11-56-422687
1576779122.339605,56354.000,9361,1,TL,1,100,2019-12-19_14-12-02-326066
1576779122.677713,56639.000,9399,1,TL,1,100,2019-12-19_14-12-02-479875
1576779128.400626,61463.000,10257,1,TL,1,100,2019-12-19_14-12-08-418398
1576779128.743479,61752.000,10295,1,TL,1,100,2019-12-19_14-12-08-756485
1576779134.645530,66727.000,11171,1,TL,1,100,2019-12-19_14-12-14-649378
1576779134.652648,66733.000,11173,1,TL,1,100,2019-12-19_14-12-14-658392
1576779140.712483,71841.000,12067,1,TL,1,100,2019-12-19_14-12-20-672150
1576779140.720788,71848.000,12069,1,TL,1,100,2019-12-19_14-12-20-717882
1576779146.606230,76809.000,12945,1,TL,1,100,2019-12-19_14-12-26-630107
1576779146.756896,76936.000,12965,1,TL,1,100,2019-12-19_14-12-26-756521
1576779152.636406,81892.000,13843,1,TL,1,100,2019-12-19_14-12-32-689580
1576779152.828594,82054.000,13863,1,TL,1,100,2019-12-19_14-12-32-857169
1576779158.702173,87005.000,14739,1,TL,1,100,2019-12-19_14-12-38-753903
1576779158.932323,87199.000,14760,1,TL,1,100,2019-12-19_14-12-38-997792
1576779164.820138,92162.000,15635,1,TL,1,100,2019-12-19_14-12-44-874977
1576779164.949450,92271.000,15656,1,TL,1,100,2019-12-19_14-12-44-970244
1576779170.814724,97215.000,16531,1,TL,1,100,2019-12-19_14-12-50-886209
1576779171.003353,97374.000,16552,1,TL,1,100,2019-12-19_14-12-51-047435
1576779176.878118,102326.000,17425,1,TL,1,100,2019-12-19_14-12-56-911503
1576779177.057256,102477.000,17446,1,TL,1,100,2019-12-19_14-12-57-072484
1576779182.934394,107431.000,18322,1,TL,1,100,2019-12-19_14-13-03-012820
1576779183.131327,107597.000,18342,1,TL,1,100,2019-12-19_14-13-03-177377
1576779188.996602,112541.000,19218,1,TL,1,100,2019-12-19_14-13-09-072258
1576779189.187603,112702.000,19238,1,TL,1,100,2019-12-19_14-13-09-229957
1576779195.055250,117648.000,20114,1,TL,1,100,2019-12-19_14-13-15-177845
1576779195.242692,117806.000,20134,1,TL,1,100,2019-12-19_14-13-15-335311
1576779201.117458,122758.000,21010,1,TL,1,100,2019-12-19_14-13-21-229540
1576779201.307272,122918.000,21030,1,TL,1,100,2019-12-19_14-13-21-382132
1576779207.176106,127865.000,21906,1,TL,1,100,2019-12-19_14-13-27-265956
1576779207.373039,128031.000,21926,1,TL,1,100,2019-12-19_14-13-27-434843
1576779213.233568,132971.000,22803,1,TL,1,100,2019-12-19_14-13-33-351371
1576779213.562185,133248.000,22841,1,TL,1,100,2019-12-19_14-13-33-680769
1576779219.306453,138090.000,23699,1,TL,1,100,2019-12-19_14-13-39-401111
1576779219.588802,138328.000,23737,1,TL,1,100,2019-12-19_14-13-39-646831
1576779225.354424,143188.000,24596,1,TL,1,100,2019-12-19_14-13-45-472101
1576779225.545425,143349.000,24616,1,TL,1,100,2019-12-19_14-13-45-667028
1576779231.607633,148459.000,25510,1,TL,1,100,2019-12-19_14-13-51-634574
1576779231.615937,148466.000,25512,1,TL,1,100,2019-12-19_14-13-51-654268
1576779237.569001,153484.000,26390,1,TL,1,100,2019-12-19_14-13-57-670671
1576779237.675772,153574.000,26410,1,TL,1,100,2019-12-19_14-13-57-740344
1576779243.536301,158514.000,27286,1,TL,1,100,2019-12-19_14-14-03-642376
1576779243.742725,158688.000,27306,1,TL,1,100,2019-12-19_14-14-03-836859
1576779249.645962,163664.000,28185,1,TL,1,100,2019-12-19_14-14-09-781884
1576779249.783578,163780.000,28206,1,TL,1,100,2019-12-19_14-14-09-892010
1576779255.652412,168727.000,29081,1,TL,1,100,2019-12-19_14-14-15-771509
1576779255.842227,168887.000,29102,1,TL,1,100,2019-12-19_14-14-15-938421
1576779261.813086,173920.000,29977,1,TL,1,100,2019-12-19_14-14-21-927051
1576779261.902061,173995.000,29998,1,TL,1,100,2019-12-19_14-14-21-991175
1576779267.773268,178944.000,30873,1,TL,1,100,2019-12-19_14-14-27-891447
1576779267.964269,179105.000,30894,1,TL,1,100,2019-12-19_14-14-28-067582
1576779273.831916,184051.000,31770,1,TL,1,100,2019-12-19_14-14-33-950008
1576779274.020545,184210.000,31790,1,TL,1,100,2019-12-19_14-14-34-104533
1576779279.894124,189161.000,32666,1,TL,1,100,2019-12-19_14-14-39-997316
1576779280.083938,189321.000,32686,1,TL,1,100,2019-12-19_14-14-40-150835
1576779285.956331,194271.000,33562,1,TL,1,100,2019-12-19_14-14-46-063840
1576779286.149705,194434.000,33582,1,TL,1,100,2019-12-19_14-14-46-217017
1576779292.017352,199380.000,34458,1,TL,1,100,2019-12-19_14-14-52-150105
1576779292.213099,199545.000,34478,1,TL,1,100,2019-12-19_14-14-52-308831
1576779298.071255,204483.000,35356,1,TL,1,100,2019-12-19_14-14-58-213254
1576779298.268188,204649.000,35376,1,TL,1,100,2019-12-19_14-14-58-370498
1576779304.133463,209593.000,36252,1,TL,1,100,2019-12-19_14-15-04-275367
1576779304.326837,209756.000,36272,1,TL,1,100,2019-12-19_14-15-04-433475
1576779310.189739,214698.000,37148,1,TL,1,100,2019-12-19_14-15-10-320801
1576779310.517169,214974.000,37185,1,TL,1,100,2019-12-19_14-15-10-659260
1576779316.253133,219809.000,38043,1,TL,1,100,2019-12-19_14-15-16-371884
1576779316.542600,220053.000,38081,1,TL,1,100,2019-12-19_14-15-16-631566
1576779322.317713,224921.000,38939,1,TL,1,100,2019-12-19_14-15-22-419164
1576779322.522950,225094.000,38959,1,TL,1,100,2019-12-19_14-15-22-640067
1576779328.550753,230175.000,39854,1,TL,1,100,2019-12-19_14-15-28-657049
1576779328.557871,230181.000,39856,1,TL,1,100,2019-12-19_14-15-28-682600
1576779334.628383,235298.000,40750,1,TL,1,100,2019-12-19_14-15-34-721392
1576779334.636688,235305.000,40752,1,TL,1,100,2019-12-19_14-15-34-759079
1576779340.523317,240267.000,41627,1,TL,1,100,2019-12-19_14-15-40-663862
1576779340.682287,240401.000,41647,1,TL,1,100,2019-12-19_14-15-40-795053
1576779346.553493,245350.000,42523,1,TL,1,100,2019-12-19_14-15-46-675376
1576779346.745680,245512.000,42543,1,TL,1,100,2019-12-19_14-15-46-837580
1576779352.612141,250457.000,43417,1,TL,1,100,2019-12-19_14-15-52-723201
1576779352.803142,250618.000,43438,1,TL,1,100,2019-12-19_14-15-52-888752
1576779358.673162,255566.000,44312,1,TL,1,100,2019-12-19_14-15-58-761226
1576779358.867723,255730.000,44333,1,TL,1,100,2019-12-19_14-15-58-917779
